Versao	Meses	Centro_Custo	Conta	Medida	Valor
Realizado	Jan	10.101.001	30.101	Valor	3300
Realizado	Jan	10.101.002	30.110	Valor	1100
Realizado	Jan	10.101.002	30.111	Valor	1148,4
Realizado	Jan	10.101.002	30.112	Valor	1197,9
Realizado	Jan	10.101.002	30.113	Valor	1247,4
Realizado	Jan	10.101.002	30.114	Valor	1296,9
Realizado	Jan	10.101.002	30.115	Valor	1346,4
Realizado	Jan	10.101.002	30.116	Valor	1395,9
Realizado	Jan	10.101.002	30.117	Valor	1445,4
Realizado	Jan	10.101.002	30.119	Valor	1494,9
Realizado	Jan	10.101.002	30.120	Valor	1544,4
Realizado	Jan	10.101.002	30.121	Valor	1593,9
Realizado	Jan	10.101.002	30.122	Valor	1643,4
Realizado	Jan	10.101.002	30.123	Valor	1692,9
Realizado	Jan	10.101.002	40.101	Valor	1742,4
Realizado	Jan	10.101.002	40.102	Valor	1791,9
Realizado	Jan	10.102.003	30.110	Valor	1841,4
Realizado	Jan	10.102.003	30.111	Valor	1890,9
Realizado	Jan	10.102.003	30.112	Valor	1940,4
Realizado	Jan	10.102.003	30.113	Valor	1988,8
Realizado	Jan	10.102.003	30.114	Valor	2038,3
Realizado	Jan	10.102.003	30.115	Valor	2087,8
Realizado	Jan	10.102.003	30.116	Valor	2137,3
Realizado	Jan	10.102.003	30.117	Valor	2186,8
Realizado	Jan	10.102.003	30.119	Valor	2236,3
Realizado	Jan	10.102.003	30.120	Valor	2285,8
Realizado	Jan	10.102.003	30.121	Valor	2335,3
Realizado	Jan	10.102.003	30.122	Valor	2384,8
Realizado	Jan	10.102.003	30.123	Valor	2434,3
Realizado	Jan	10.102.003	40.101	Valor	2483,8
Realizado	Jan	10.102.003	40.102	Valor	2533,3
Realizado	Jan	20.104.012	30.110	Valor	2582,8
Realizado	Jan	20.104.012	30.111	Valor	2632,3
Realizado	Jan	20.104.012	30.112	Valor	2681,8
Realizado	Jan	20.104.012	30.113	Valor	2731,3
Realizado	Jan	20.104.012	30.114	Valor	2780,8
Realizado	Jan	20.104.012	30.115	Valor	2830,3
Realizado	Jan	20.104.012	30.116	Valor	2878,7
Realizado	Jan	20.104.012	30.117	Valor	2928,2
Realizado	Jan	20.104.012	30.119	Valor	2977,7
Realizado	Jan	20.104.012	30.120	Valor	3027,2
Realizado	Jan	20.104.012	30.121	Valor	3076,7
Realizado	Jan	20.104.012	30.122	Valor	3126,2
Realizado	Jan	20.104.012	30.123	Valor	3175,7
Realizado	Jan	20.104.012	40.101	Valor	3225,2
Realizado	Jan	20.104.012	40.102	Valor	3274,7
Realizado	Jan	30.106.017	30.110	Valor	3324,2
Realizado	Jan	30.106.017	30.111	Valor	3373,7
Realizado	Jan	30.106.017	30.112	Valor	3423,2
Realizado	Jan	30.106.017	30.113	Valor	3472,7
Realizado	Jan	30.106.017	30.114	Valor	3522,2
Realizado	Jan	30.106.017	30.115	Valor	3571,7
Realizado	Jan	30.106.017	30.116	Valor	3621,2
Realizado	Jan	30.106.017	30.117	Valor	3670,7
Realizado	Jan	30.106.017	30.119	Valor	3720,2
Realizado	Jan	30.106.017	30.120	Valor	3768,6
Realizado	Jan	30.106.017	30.121	Valor	3818,1
Realizado	Jan	30.106.017	30.122	Valor	3867,6
Realizado	Jan	30.106.017	30.123	Valor	3917,1
Realizado	Jan	30.106.017	40.101	Valor	3966,6
Realizado	Jan	30.106.017	40.102	Valor	4016,1
Realizado	Jan	40.110.024	30.110	Valor	4065,6
Realizado	Jan	40.110.024	30.111	Valor	4115,1
Realizado	Jan	40.110.024	30.112	Valor	4164,6
Realizado	Jan	40.110.024	30.113	Valor	4214,1
Realizado	Jan	40.110.024	30.114	Valor	4263,6
Realizado	Jan	40.110.024	30.115	Valor	4313,1
Realizado	Jan	40.110.024	30.116	Valor	4362,6
Realizado	Jan	40.110.024	30.117	Valor	4412,1
Realizado	Jan	40.110.024	30.119	Valor	4461,6
Realizado	Jan	40.110.024	30.120	Valor	4511,1
Realizado	Jan	40.110.024	30.121	Valor	4560,6
Realizado	Jan	40.110.024	30.122	Valor	4610,1
Realizado	Jan	40.110.024	30.123	Valor	4658,5
Realizado	Jan	40.110.024	40.101	Valor	4708
Realizado	Jan	40.110.024	40.102	Valor	4757,5
Realizado	Jan	50.112.028	30.110	Valor	4807
Realizado	Jan	50.112.028	30.111	Valor	4856,5
Realizado	Jan	50.112.028	30.112	Valor	4906
Realizado	Jan	50.112.028	30.113	Valor	4955,5
Realizado	Jan	50.112.028	30.114	Valor	5005
Realizado	Jan	50.112.028	30.115	Valor	5054,5
Realizado	Jan	50.112.028	30.116	Valor	5104
Realizado	Jan	50.112.028	30.117	Valor	5153,5
Realizado	Jan	50.112.028	30.119	Valor	5203
Realizado	Jan	50.112.028	30.120	Valor	5252,5
Realizado	Jan	50.112.028	30.121	Valor	5302
Realizado	Jan	50.112.028	30.122	Valor	5351,5
Realizado	Jan	50.112.028	30.123	Valor	5401
Realizado	Jan	50.112.028	40.101	Valor	5450,5
Realizado	Jan	50.112.028	40.102	Valor	5500
Realizado	Fev	10.101.001	30.101	Valor	3399
Realizado	Fev	10.101.002	30.110	Valor	550
Realizado	Fev	10.101.002	30.111	Valor	5684,8
Realizado	Fev	10.101.002	30.112	Valor	5870,7
Realizado	Fev	10.101.002	30.113	Valor	6055,5
Realizado	Fev	10.101.002	30.114	Valor	6241,4
Realizado	Fev	10.101.002	30.115	Valor	6426,2
Realizado	Fev	10.101.002	30.116	Valor	6612,1
Realizado	Fev	10.101.002	30.117	Valor	6796,9
