Filial	Produto	Versão	Mês	Volume
F0002	00001	Orçado	abr	442
F0002	00001	Orçado	ago	133
F0002	00001	Orçado	dez	12608
F0002	00001	Orçado	fev	332
F0002	00001	Orçado	jan	5552
F0002	00001	Orçado	jul	398
F0002	00001	Orçado	jun	752
F0002	00001	Orçado	mai	354
F0002	00001	Orçado	mar	708
F0002	00001	Orçado	nov	221
F0002	00001	Orçado	out	15528
F0002	00001	Orçado	set	13913
F0003	00001	Orçado	abr	1641
F0003	00001	Orçado	ago	1116
F0003	00001	Orçado	dez	1904
F0003	00001	Orçado	fev	1050
F0003	00001	Orçado	jan	1510
F0003	00001	Orçado	jul	985
F0003	00001	Orçado	jun	8139
F0003	00001	Orçado	mai	8861
F0003	00001	Orçado	mar	4267
F0003	00001	Orçado	nov	5425
F0003	00001	Orçado	out	1247
F0003	00001	Orçado	set	2532
F0004	00001	Orçado	abr	7712
F0004	00001	Orçado	ago	18454
F0004	00001	Orçado	dez	2203
F0004	00001	Orçado	fev	16973
F0004	00001	Orçado	jan	9380
F0004	00001	Orçado	jul	2848
F0004	00001	Orçado	jun	849
F0004	00001	Orçado	mai	8429
F0004	00001	Orçado	mar	158
F0004	00001	Orçado	nov	6379
F0004	00001	Orçado	out	440
F0004	00001	Orçado	set	12416
F0005	00001	Orçado	abr	800
F0005	00001	Orçado	ago	18903
F0005	00001	Orçado	dez	787
F0005	00001	Orçado	fev	6154
F0005	00001	Orçado	jan	1996
F0005	00001	Orçado	jul	659
F0005	00001	Orçado	jun	480
F0005	00001	Orçado	mai	714
F0005	00001	Orçado	mar	364
F0005	00001	Orçado	nov	2802
F0005	00001	Orçado	out	1093
F0005	00001	Orçado	set	5770
F0006	00001	Orçado	abr	1409
F0006	00001	Orçado	ago	29942
F0006	00001	Orçado	dez	1222
F0006	00001	Orçado	jul	13080
F0006	00001	Orçado	jun	469
F0006	00001	Orçado	mai	13238
F0006	00001	Orçado	mar	1033
F0006	00001	Orçado	nov	46174
F0006	00001	Orçado	out	2208
F0006	00001	Orçado	set	7722
F0008	00001	Orçado	abr	442
F0008	00001	Orçado	ago	263
F0008	00001	Orçado	dez	12608
F0008	00001	Orçado	fev	722
F0008	00001	Orçado	jan	5552
F0008	00001	Orçado	jul	1444
F0008	00001	Orçado	jun	752
F0008	00001	Orçado	mai	3151
F0008	00001	Orçado	mar	708
F0008	00001	Orçado	nov	591
F0008	00001	Orçado	out	15528
F0008	00001	Orçado	set	656
F0009	00001	Orçado	abr	1641
F0009	00001	Orçado	ago	723
F0009	00001	Orçado	dez	1904
F0009	00001	Orçado	fev	14106
F0009	00001	Orçado	jan	1510
F0009	00001	Orçado	jul	5425
F0009	00001	Orçado	jun	8139
F0009	00001	Orçado	mai	8861
F0009	00001	Orçado	mar	4267
F0009	00001	Orçado	nov	5425
F0009	00001	Orçado	out	1247
F0009	00001	Orçado	set	2532
F0010	00001	Orçado	abr	7712
F0010	00001	Orçado	ago	18454
F0010	00001	Orçado	dez	2203
F0010	00001	Orçado	fev	16973
F0010	00001	Orçado	jan	9380
F0010	00001	Orçado	jul	2848
F0010	00001	Orçado	jun	849
F0010	00001	Orçado	mai	8429
F0010	00001	Orçado	mar	158
F0010	00001	Orçado	nov	6379
F0010	00001	Orçado	out	440
F0010	00001	Orçado	set	12416
F0002	00002	Orçado	abr	597
F0002	00002	Orçado	ago	2100
F0002	00002	Orçado	dez	2124
F0002	00002	Orçado	fev	1575
F0002	00002	Orçado	jan	17453
F0002	00002	Orçado	jul	6630
F0002	00002	Orçado	jun	1305
F0002	00002	Orçado	mai	1707
F0002	00002	Orçado	mar	265
F0002	00002	Orçado	nov	5711
F0002	00002	Orçado	out	28933
F0002	00002	Orçado	set	1904
F0003	00002	Orçado	abr	2560
F0003	00002	Orçado	ago	3436
F0003	00002	Orçado	dez	985
F0003	00002	Orçado	fev	1628
F0003	00002	Orçado	jan	8074
F0003	00002	Orçado	jul	2893
F0003	00002	Orçado	jun	4857
F0003	00002	Orçado	mai	18446
F0003	00002	Orçado	mar	3282
F0003	00002	Orçado	nov	20435
F0003	00002	Orçado	out	14703
F0003	00002	Orçado	set	13020
F0004	00002	Orçado	abr	2991
F0004	00002	Orçado	ago	1139
F0004	00002	Orçado	dez	1449
F0004	00002	Orçado	fev	18909
F0004	00002	Orçado	jan	11489
F0004	00002	Orçado	jul	1253
F0004	00002	Orçado	jun	4375
F0004	00002	Orçado	mai	7974
F0004	00002	Orçado	mar	1921
F0004	00002	Orçado	nov	15036
F0004	00002	Orçado	out	2896
F0004	00002	Orçado	set	3987
F0005	00002	Orçado	abr	990
F0005	00002	Orçado	ago	3132
F0005	00002	Orçado	dez	1807
F0005	00002	Orçado	fev	1099
F0005	00002	Orçado	jan	670
F0005	00002	Orçado	jul	4121
F0005	00002	Orçado	jun	684
F0005	00002	Orçado	mai	4561
F0005	00002	Orçado	mar	1413
F0005	00002	Orçado	nov	1484
F0005	00002	Orçado	out	2215
F0005	00002	Orçado	set	16430
F0006	00002	Orçado	abr	1550
F0006	00002	Orçado	ago	17965
F0006	00002	Orçado	dez	4931
F0006	00002	Orçado	jul	35930
F0006	00002	Orçado	jun	1691
F0006	00002	Orçado	mai	19226
F0006	00002	Orçado	mar	1832
F0006	00002	Orçado	nov	62090
F0006	00002	Orçado	out	2536
F0006	00002	Orçado	set	6776
F0008	00002	Orçado	abr	597
F0008	00002	Orçado	ago	2100
F0008	00002	Orçado	dez	2124
F0008	00002	Orçado	fev	1575
F0008	00002	Orçado	jan	17453
F0008	00002	Orçado	jul	6630
F0008	00002	Orçado	jun	1305
F0008	00002	Orçado	jun	597
F0008	00002	Orçado	jun	1018
F0008	00002	Orçado	jun	641
F0008	00002	Orçado	jun	376
F0008	00002	Orçado	jun	420
F0008	00002	Orçado	jun	531
F0008	00002	Orçado	jun	376
F0008	00002	Orçado	jun	1947
F0008	00002	Orçado	jun	4203
F0008	00002	Orçado	jun	6017
F0008	00002	Orçado	jun	310
F0008	00002	Orçado	jun	664
