Filial	Produto	Versão	Mês	Volume	Receita	Custo	Margem
F0002	00001	Realizado	abr	486,2	20480,66449	15103,70576	5376,95873
F0002	00001	Realizado	ago	146,3	6162,733885	4544,78024	1617,953645
F0002	00001	Realizado	dez	13868,8	584208,6378	430831,4982	153377,1395
F0002	00001	Realizado	fev	365,2	15383,66654	11344,86496	4038,80158
F0002	00001	Realizado	jan	6107,2	257259,3874	189718,9466	67540,44088
F0002	00001	Realizado	jul	437,8	18441,86531	13600,16944	4841,69587
F0002	00001	Realizado	jun	827,2	34844,93144	25696,80256	9148,12888
F0002	00001	Realizado	mai	389,4	16403,06613	12096,63312	4306,43301
F0002	00001	Realizado	mar	778,8	32806,13226	24193,26624	8612,86602
F0002	00001	Realizado	nov	243,1	10240,33225	7551,85288	2688,479365
F0002	00001	Realizado	out	17080,8	719510,7652	530611,6358	188899,1293
F0002	00001	Realizado	set	15304,3	644677,568	475425,0186	169252,5493
F0003	00001	Realizado	abr	1805,1	76037,94215	56075,07048	19962,87167
F0003	00001	Realizado	ago	1227,6	51711,36102	38135,14848	13576,21254
F0003	00001	Realizado	dez	2094,4	88224,40088	65062,11712	23162,28376
F0003	00001	Realizado	fev	1155	48653,16225	35879,844	12773,31825
F0003	00001	Realizado	jan	1661	69967,88095	51598,6328	18369,24815
F0003	00001	Realizado	jul	1083,5	45641,29983	33658,7108	11982,58903
F0003	00001	Realizado	jun	8952,9	377131,512	278120,0479	99011,46404
F0003	00001	Realizado	mai	9747,1	410586,353	302791,7121	107794,641
F0003	00001	Realizado	mar	4693,7	197717,1841	145808,8518	51908,33236
F0003	00001	Realizado	nov	5967,5	251374,6716	185379,194	65995,47763
F0003	00001	Realizado	out	1371,7	57781,42222	42611,58616	15169,83606
F0003	00001	Realizado	set	2785,2	117323,6255	86521,68096	30801,94458
F0004	00001	Realizado	abr	8483,2	357345,8926	263528,9114	93816,98128
F0004	00001	Realizado	ago	20299,4	855090,9106	630596,8011	224494,1095
F0004	00001	Realizado	dez	2423,3	102078,968	75279,32984	26799,6382
F0004	00001	Realizado	fev	18670,3	786466,7837	579989,1354	206477,6482
F0004	00001	Realizado	jan	10318	434634,9161	320526,6064	114108,3097
F0004	00001	Realizado	jul	3132,8	131965,9106	97319,80544	34646,10512
F0004	00001	Realizado	jun	933,9	39339,55691	29011,41672	10328,14019
