2022-10-01 19:49:54.866   INFO   TM1 Server is ready, elapsed time 3.00 seconds
2022-10-01 22:41:06.994   INFO   TM1 Server is ready, elapsed time 2.00 seconds
2022-10-03 13:30:11.636   INFO   TM1 Server is ready, elapsed time 2.00 seconds
2022-10-04 11:25:21.785   INFO   TM1 Server is ready, elapsed time 2.00 seconds
2022-10-05 12:09:26.606   INFO   TM1 Server is ready, elapsed time 2.00 seconds
2022-10-07 21:22:16.134   INFO   TM1 Server is ready, elapsed time 2.00 seconds
2022-10-13 21:06:24.027   INFO   TM1 Server is ready, elapsed time 3.00 seconds
2022-10-14 11:09:25.293   INFO   TM1 Server is ready, elapsed time 3.00 seconds
2022-10-25 12:23:53.246   INFO   Server shutdown, elapsed time 1.00 seconds
2022-10-28 11:49:25.896   INFO   TM1 Server is ready, elapsed time 2.00 seconds
2022-11-03 20:29:31.747   INFO   Server shutdown, elapsed time 0.00 seconds
2022-12-30 12:36:04.823   INFO   TM1 Server is ready, elapsed time 1.00 seconds
2022-12-30 12:57:27.437   INFO   Server shutdown, elapsed time 1.00 seconds
2022-12-30 12:58:05.738   INFO   TM1 Server is ready, elapsed time 1.00 seconds
2022-12-30 14:35:22.301   INFO   Server shutdown, elapsed time 0.00 seconds
2023-01-17 11:53:49.513   INFO   TM1 Server is ready, elapsed time 5.00 seconds
2023-02-01 18:06:27.077   INFO   TM1 Server is ready, elapsed time 9.00 seconds
2023-02-01 18:12:51.207   INFO   TM1 Server is ready, elapsed time 11.00 seconds
2023-02-13 16:47:17.955   INFO   TM1 Server is ready, elapsed time 2.00 seconds
2023-02-13 16:51:19.879   INFO   TM1 Server is ready, elapsed time 1.00 seconds
