Versao;Ano;Mes;Filial;Produto;Metrica;Volume;Receita;Custo;Margem
Orçado;2021;Jan;F0001;00017;vol_venda;29922;3455392,56;2520928,5;934464,06
Orçado;2021;Jan;F0001;00018;vol_venda;38712;3861134,88;2692419,6;1168715,28
Orçado;2021;Jan;F0001;00019;vol_venda;63610;3128339,8;2230166,6;898173,2
Orçado;2021;Jan;F0001;00020;vol_venda;56076;7471566,24;5233573,08;2237993,16
Orçado;2021;Jan;F0001;00021;vol_venda;24482;2368388,68;1355078,7;1013309,98
Orçado;2021;Jan;F0002;00001;vol_venda;5552;223801,12;165838,24;57962,88
Orçado;2021;Jan;F0002;00002;vol_venda;17453;508231,36;368956,42;139274,94
Orçado;2021;Jan;F0002;00003;vol_venda;42825;7510220,25;5417790,75;2092429,5
Orçado;2021;Jan;F0002;00004;vol_venda;60731;6305699,73;4737625,31;1568074,42
Orçado;2021;Jan;F0002;00005;vol_venda;123918;56185660,38;47713386,72;8472273,66
Orçado;2021;Jan;F0002;00006;vol_venda;9128;553887,04;258961,36;294925,68
Orçado;2021;Jan;F0002;00007;vol_venda;3860;2311754;1335367;976387
Orçado;2021;Jan;F0002;00008;vol_venda;5968;692705,76;373298,4;319407,36
Orçado;2021;Jan;F0002;00009;vol_venda;6318;5995213,38;3475531,8;2519681,58
Orçado;2021;Jan;F0002;00010;vol_venda;42125;1348000;888837,5;459162,5
Orçado;2021;Jan;F0002;00011;vol_venda;17903;5255783,71;3938660;1317123,71
Orçado;2021;Jan;F0002;00012;vol_venda;2809;203483,96;136742,12;66741,84
Orçado;2021;Jan;F0002;00013;vol_venda;30013;1682828,91;1144695,82;538133,09
Orçado;2021;Jan;F0002;00014;vol_venda;9916;113141,56;79526,32;33615,24
Orçado;2021;Jan;F0002;00015;vol_venda;63626;386209,82;146339,8;239870,02
Orçado;2021;Jan;F0002;00016;vol_venda;32119;154492,39;73231,32;81261,07
Orçado;2021;Jan;F0002;00017;vol_venda;20624;2381659,52;1737572;644087,52
Orçado;2021;Jan;F0002;00018;vol_venda;19218;1916803,32;1336611,9;580191,42
Orçado;2021;Jan;F0002;00019;vol_venda;44670;2196870,6;1566130,2;630740,4
Orçado;2021;Jan;F0002;00020;vol_venda;11409;1520135,16;1064801,97;455333,19
Orçado;2021;Jan;F0002;00021;vol_venda;17201;1664024,74;952075,35;711949,39
Orçado;2021;Jan;F0003;00001;vol_venda;1510;60868,1;45103,7;15764,4
Orçado;2021;Jan;F0003;00002;vol_venda;8074;235114,88;170684,36;64430,52
Orçado;2021;Jan;F0003;00003;vol_venda;33767;5921718,79;4271863,17;1649855,62
Orçado;2021;Jan;F0003;00004;vol_venda;21445;2226634,35;1672924,45;553709,9
Orçado;2021;Jan;F0003;00005;vol_venda;20211;9163869,51;7782043,44;1381826,07
Orçado;2021;Jan;F0003;00006;vol_venda;20950;1271246;594351,5;676894,5
Orçado;2021;Jan;F0003;00007;vol_venda;13310;7971359;4604594,5;3366764,5
Orçado;2021;Jan;F0003;00008;vol_venda;28100;3261567;1757655;1503912
Orçado;2021;Jan;F0003;00009;vol_venda;14789;14033429,99;8135428,9;5898001,09
Orçado;2021;Jan;F0003;00010;vol_venda;9860;315520;208046;107474
Orçado;2021;Jan;F0003;00011;vol_venda;13063;3834904,91;2873860;961044,91
Orçado;2021;Jan;F0003;00012;vol_venda;2219;160744,36;108020,92;52723,44
Orçado;2021;Jan;F0003;00013;vol_venda;17254;967431,78;658067,56;309364,22
Orçado;2021;Jan;F0003;00014;vol_venda;17501;199686,41;140358,02;59328,39
Orçado;2021;Jan;F0003;00015;vol_venda;98345;596954,15;226193,5;370760,65
Orçado;2021;Jan;F0003;00016;vol_venda;114120;548917,2;260193,6;288723,6
Orçado;2021;Jan;F0003;00017;vol_venda;52254;6034291,92;4402399,5;1631892,42
Orçado;2021;Jan;F0003;00018;vol_venda;58911;5875783,14;4097260,05;1778523,09
Orçado;2021;Jan;F0003;00019;vol_venda;139508;6861003,44;4891150,48;1969852,96
Orçado;2021;Jan;F0003;00020;vol_venda;43874;5845771,76;4094760,42;1751011,34
Orçado;2021;Jan;F0003;00021;vol_venda;58662;5674961,88;3246941,7;2428020,18
Orçado;2021;Jan;F0004;00001;vol_venda;9380;378107,8;280180,6;97927,2
Orçado;2021;Jan;F0004;00002;vol_venda;11489;334559,68;242877,46;91682,22
Orçado;2021;Jan;F0004;00003;vol_venda;12940;2269287,8;1637039,4;632248,4
Orçado;2021;Jan;F0004;00004;vol_venda;25879;2687016,57;2018820,79;668195,78
Orçado;2021;Jan;F0004;00005;vol_venda;15993;7251386,13;6157944,72;1093441,41
Orçado;2021;Jan;F0004;00010;vol_venda;25298;809536;533787,8;275748,2
Orçado;2021;Jan;F0004;00011;vol_venda;17592;5164483,44;3870240;1294243,44
Orçado;2021;Jan;F0004;00012;vol_venda;5234;379150,96;254791,12;124359,84
Orçado;2021;Jan;F0004;00013;vol_venda;14538;815145,66;554479,32;260666,34
Orçado;2021;Jan;F0004;00014;vol_venda;2908;33180,28;23322,16;9858,12
Orçado;2021;Jan;F0004;00015;vol_venda;6833;41476,31;15715,9;25760,41
Orçado;2021;Jan;F0004;00018;vol_venda;1453;144922,22;101056,15;43866,07
Orçado;2021;Jan;F0004;00019;vol_venda;13813;679323,34;484283,78;195039,56
Orçado;2021;Jan;F0004;00020;vol_venda;3053;406781,72;284936,49;121845,23
Orçado;2021;Jan;F0005;00001;vol_venda;1996;80458,76;59620,52;20838,24
Orçado;2021;Jan;F0005;00002;vol_venda;670;19510,4;14163,8;5346,6
Orçado;2021;Jan;F0005;00003;vol_venda;30592;5364919,04;3870193,92;1494725,12
Orçado;2021;Jan;F0005;00004;vol_venda;27740;2880244,2;2163997,4;716246,799999999
Orçado;2021;Jan;F0005;00005;vol_venda;25441;11535203,81;9795802,64;1739401,17
Orçado;2021;Jan;F0005;00006;vol_venda;7578;459833,04;214987,86;244845,18
Orçado;2021;Jan;F0005;00007;vol_venda;1042;624053,8;360479,9;263573,9
Orçado;2021;Jan;F0005;00008;vol_venda;2155;250130,85;134795,25;115335,6
Orçado;2021;Jan;F0005;00009;vol_venda;1322;1254459,02;727232,2;527226,82
Orçado;2021;Jan;F0005;00010;vol_venda;25719;823008;542670,9;280337,1
Orçado;2021;Jan;F0005;00011;vol_venda;1529;448868,53;336380;112488,53
Orçado;2021;Jan;F0005;00012;vol_venda;6534;473322,96;318075,12;155247,84
Orçado;2021;Jan;F0005;00013;vol_venda;39208;2198392,56;1495393,12;702999,44
Orçado;2021;Jan;F0005;00014;vol_venda;6117;69794,97;49058,34;20736,63
Orçado;2021;Jan;F0005;00015;vol_venda;33644;204219,08;77381,2;126837,88
Orçado;2021;Jan;F0005;00016;vol_venda;21273;102323,13;48502,44;53820,69
Orçado;2021;Jan;F0005;00017;vol_venda;9943;1148217,64;837697,75;310519,89
Orçado;2021;Jan;F0005;00018;vol_venda;12861;1282756,14;894482,55;388273,59
Orçado;2021;Jan;F0005;00019;vol_venda;21132;1039271,76;740887,92;298383,84
Orçado;2021;Jan;F0005;00020;vol_venda;18630;2482261,2;1738737,9;743523,3
Orçado;2021;Jan;F0005;00021;vol_venda;8133;786786,42;450161,55;336624,87
Orçado;2021;Jan;F0007;00017;vol_venda;29922;3455392,56;2520928,5;934464,06
Orçado;2021;Jan;F0007;00018;vol_venda;38712;3861134,88;2692419,6;1168715,28
Orçado;2021;Jan;F0007;00019;vol_venda;63610;3128339,8;2230166,6;898173,2
Orçado;2021;Jan;F0007;00020;vol_venda;56076;7471566,24;5233573,08;2237993,16
Orçado;2021;Jan;F0007;00021;vol_venda;24482;2368388,68;1355078,7;1013309,98
Orçado;2021;Jan;F0008;00001;vol_venda;5552;223801,12;165838,24;57962,88
Orçado;2021;Jan;F0008;00002;vol_venda;17453;508231,36;368956,42;139274,94
Orçado;2021;Jan;F0008;00003;vol_venda;42825;7510220,25;5417790,75;2092429,5
Orçado;2021;Jan;F0008;00004;vol_venda;60731;6305699,73;4737625,31;1568074,42
Orçado;2021;Jan;F0008;00005;vol_venda;123918;56185660,38;47713386,72;8472273,66
Orçado;2021;Jan;F0008;00006;vol_venda;9128;553887,04;258961,36;294925,68
Orçado;2021;Jan;F0008;00007;vol_venda;3860;2311754;1335367;976387
Orçado;2021;Jan;F0008;00008;vol_venda;5968;692705,76;373298,4;319407,36
Orçado;2021;Jan;F0008;00009;vol_venda;6318;5995213,38;3475531,8;2519681,58
Orçado;2021;Jan;F0008;00010;vol_venda;42125;1348000;888837,5;459162,5
Orçado;2021;Jan;F0008;00011;vol_venda;17903;5255783,71;3938660;1317123,71
Orçado;2021;Jan;F0008;00012;vol_venda;2809;203483,96;136742,12;66741,84
Orçado;2021;Jan;F0008;00013;vol_venda;30013;1682828,91;1144695,82;538133,09
Orçado;2021;Jan;F0008;00014;vol_venda;9916;113141,56;79526,32;33615,24
Orçado;2021;Jan;F0008;00015;vol_venda;63626;386209,82;146339,8;239870,02
Orçado;2021;Jan;F0008;00016;vol_venda;32119;154492,39;73231,32;81261,07
Orçado;2021;Jan;F0008;00017;vol_venda;20624;2381659,52;1737572;644087,52
Orçado;2021;Jan;F0008;00018;vol_venda;19218;1916803,32;1336611,9;580191,42
Orçado;2021;Jan;F0008;00019;vol_venda;44670;2196870,6;1566130,2;630740,4
Orçado;2021;Jan;F0008;00020;vol_venda;11409;1520135,16;1064801,97;455333,19
Orçado;2021;Jan;F0008;00021;vol_venda;17201;1664024,74;952075,35;711949,39
Orçado;2021;Jan;F0009;00001;vol_venda;1510;60868,1;45103,7;15764,4
Orçado;2021;Jan;F0009;00002;vol_venda;81092;2361399,04;1714284,88;647114,16
Orçado;2021;Jan;F0009;00003;vol_venda;33767;5921718,79;4271863,17;1649855,62
Orçado;2021;Jan;F0009;00004;vol_venda;21445;2226634,35;1672924,45;553709,9
Orçado;2021;Jan;F0009;00005;vol_venda;20211;9163869,51;7782043,44;1381826,07
Orçado;2021;Jan;F0009;00006;vol_venda;20950;1271246;594351,5;676894,5
Orçado;2021;Jan;F0009;00007;vol_venda;13310;7971359;4604594,5;3366764,5
Orçado;2021;Jan;F0009;00008;vol_venda;28100;3261567;1757655;1503912
Orçado;2021;Jan;F0009;00009;vol_venda;14789;14033429,99;8135428,9;5898001,09
Orçado;2021;Jan;F0009;00010;vol_venda;9860;315520;208046;107474
Orçado;2021;Jan;F0009;00011;vol_venda;13063;3834904,91;2873860;961044,91
Orçado;2021;Jan;F0009;00012;vol_venda;2219;160744,36;108020,92;52723,44
Orçado;2021;Jan;F0009;00013;vol_venda;17254;967431,78;658067,56;309364,22
Orçado;2021;Jan;F0009;00014;vol_venda;17501;199686,41;140358,02;59328,39
Orçado;2021;Jan;F0009;00015;vol_venda;98345;596954,15;226193,5;370760,65
Orçado;2021;Jan;F0009;00016;vol_venda;114120;548917,2;260193,6;288723,6
Orçado;2021;Jan;F0009;00017;vol_venda;52254;6034291,92;4402399,5;1631892,42
Orçado;2021;Jan;F0009;00018;vol_venda;58911;5875783,14;4097260,05;1778523,09
Orçado;2021;Jan;F0009;00019;vol_venda;139508;6861003,44;4891150,48;1969852,96
